time,f7_time,stage,target,position,velocity,current,state,code
0.04428716702386737,65.414,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.05437189299846068,65.424,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.06420360604533926,65.434,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.0744054660317488,65.444,idle,0.0,220.00033569335938,-0.0,-0.03999999910593033,0,1
0.08409614901756868,65.454,idle,0.0,220.00033569335938,-0.0,-0.03999999910593033,0,1
0.09447254199767485,65.464,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.10430868301773444,65.474,idle,0.0,220.00033569335938,-0.0,-0.03999999910593033,0,1
0.11453727399930358,65.484,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.12435688404366374,65.494,idle,0.0,220.00033569335938,-0.0,-0.03999999910593033,0,1
0.13453549903351814,65.504,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.14443354803370312,65.514,idle,0.0,220.00033569335938,-0.0,-0.03999999910593033,0,1
0.15453167003579438,65.524,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.16433443705318496,65.534,idle,0.0,220.00033569335938,-0.0,-0.03999999910593033,0,1
0.1743998160236515,65.544,idle,0.0,220.00033569335938,-0.0,0.028999999165534973,0,1
0.18440039199776947,65.554,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.19437364500481635,65.564,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.20439872704446316,65.574,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.21445132105145603,65.584,idle,0.0,220.00033569335938,-0.0,0.028999999165534973,0,1
0.22412646503653377,65.594,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.2343426020233892,65.604,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.2441265230299905,65.614,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.25431113003287464,65.624,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.26415816199732944,65.634,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.27523122599814087,65.644,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.2840101270121522,65.654,idle,0.0,220.00033569335938,-0.0,-0.03999999910593033,0,1
0.2942569630104117,65.664,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.3041983650182374,65.674,idle,0.0,220.00033569335938,-0.0,-0.03999999910593033,0,1
0.3144135610200465,65.684,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.3240482570254244,65.694,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.3344216539990157,65.704,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.34422597399679944,65.714,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.3544094790122472,65.724,idle,0.0,220.00033569335938,-0.0,0.028999999165534973,0,1
0.3643005350022577,65.734,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.3743283020448871,65.744,idle,0.0,220.00033569335938,-0.0,0.028999999165534973,0,1
0.3842028970248066,65.754,idle,0.0,220.00033569335938,-0.0,0.028999999165534973,0,1
0.39432128705084324,65.764,idle,0.0,220.00033569335938,-0.0,-0.03999999910593033,0,1
0.4043121639988385,65.774,idle,0.0,220.00033569335938,-0.0,-0.03999999910593033,0,1
0.4144815920153633,65.784,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.4240611930144951,65.794,idle,0.0,220.00033569335938,-0.0,0.028999999165534973,0,1
0.4347243439988233,65.804,idle,0.0,220.00033569335938,-0.0,-0.03999999910593033,0,1
0.44430017803097144,65.814,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.4545057550421916,65.824,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.4644215880543925,65.834,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.474465596023947,65.844,idle,0.0,220.00033569335938,-0.0,0.028999999165534973,0,1
0.48438916401937604,65.854,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.49446583504322916,65.864,idle,0.0,220.00033569335938,-0.0,-0.03999999910593033,0,1
0.5042455480434,65.874,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.5145591710461304,65.884,idle,0.0,220.00033569335938,-0.0,0.028999999165534973,0,1
0.5243620190303773,65.894,idle,0.0,220.00033569335938,-0.0,0.01600000075995922,0,1
0.5345877640065737,65.904,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.5444382630521432,65.914,idle,0.0,220.00033569335938,-0.0,0.028999999165534973,0,1
0.5566834160126746,65.924,idle,0.0,220.00033569335938,-0.0,-0.02800000086426735,0,1
0.5650241300463676,65.934,idle,0.0,220.00033569335938,-0.0,-0.03999999910593033,0,1
