tick,interval,received,coalesced,ring_overrun,priority_full,tx_errors,can_errors,can_error_code,loops,loop_gap_ms,enabled_mask,target1,target2,target_gap1_ms,target_gap2_ms,iq1,iq2,position1,position2,velocity1,velocity2,type2_1,type2_2,tx_complete
13443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
14443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
15443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
16443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
17443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
18443,1000,36,0,0,0,0,0,0,500,2,3,22,20,10,10,99,100,100,100,99,100,25,23,649
19443,1000,91,0,0,0,0,0,0,500,2,3,191,191,10,10,100,99,99,100,100,99,191,191,979
20443,1000,90,0,0,0,0,0,0,500,2,3,190,190,10,10,100,101,101,100,100,101,190,190,979
21443,1000,91,0,0,0,0,0,0,500,2,3,191,191,10,10,100,99,99,100,100,99,191,191,976
22443,1000,89,0,0,0,0,0,0,500,2,3,189,189,10,10,100,101,101,100,100,101,189,189,976
23443,1000,91,0,0,0,0,0,0,500,2,3,191,191,10,10,100,100,100,100,100,100,190,190,979
24443,1000,90,0,0,0,0,0,0,500,2,3,190,190,10,10,100,100,100,100,100,100,190,190,974
25443,1000,90,0,0,0,0,0,0,500,2,3,190,190,10,10,100,100,100,100,100,100,190,190,977
26443,1000,89,0,0,0,0,0,0,500,2,3,189,189,10,10,100,100,100,100,100,100,190,190,977
27443,1000,90,0,0,0,0,0,0,500,2,3,190,190,10,10,100,100,100,100,100,100,190,190,976
28443,1000,23,0,0,0,0,1,32768,500,2,0,48,52,10,34,99,99,99,99,99,99,51,54,697
29443,1000,0,0,0,0,0,0,0,494,14,0,0,0,0,0,98,98,98,98,98,98,0,0,588
30443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
31443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
32443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
33443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
34443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
35443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
36443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
37443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
38443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
39443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
40443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
41443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
42443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
43443,1000,24,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,2,2,605
44443,1000,87,0,0,0,0,0,0,500,2,3,179,177,15800,15781,100,100,100,100,100,100,180,178,958
45443,1000,90,0,0,0,0,0,0,500,2,3,190,190,10,10,100,100,100,100,100,100,190,190,977
46443,1000,90,0,0,0,0,0,0,500,2,3,190,190,10,10,100,100,100,100,100,100,190,190,980
47443,1000,91,0,0,0,0,0,0,500,2,3,191,191,10,10,100,100,100,100,100,100,191,191,982
48443,1000,91,0,0,0,0,0,0,500,2,3,191,191,10,10,100,100,100,100,100,100,191,191,981
49443,1000,90,0,0,0,0,0,0,500,2,3,190,190,10,10,100,100,100,100,100,100,190,190,979
50443,1000,91,0,0,0,0,0,0,500,2,3,191,191,10,10,100,100,100,100,100,100,191,191,981
51443,1000,91,0,0,0,0,0,0,500,2,3,191,191,10,10,100,100,100,100,100,100,191,191,981
52443,1000,90,0,0,0,0,0,0,500,2,3,190,190,10,10,100,100,100,100,100,100,190,190,979
53443,1000,20,0,0,0,0,0,0,500,2,0,42,46,10,39,99,99,99,100,99,100,46,50,692
54443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
55443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
56443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
57443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
58443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
59443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
60443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
61443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
62443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
63443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
64443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
65443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
66443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,2,2,606
67443,1000,83,0,0,0,0,0,0,500,2,3,319,117,14148,14122,69,100,37,100,37,100,320,118,877
68443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,50,100,0,100,0,100,500,191,1033
69443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1033
70443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,50,100,0,100,0,100,500,191,1035
71443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1034
72443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1031
73443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1031
74443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1031
75443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1031
76443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,50,100,0,100,0,100,500,191,1033
77443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,50,100,0,100,0,100,500,191,1032
78443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1037
79443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1030
80443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1031
81443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1034
82443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,50,100,0,100,0,100,500,190,1031
83443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,191,1031
84443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1030
85443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,50,100,0,100,0,100,500,191,1033
86443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1031
87443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,50,100,0,100,0,100,500,191,1031
88443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,50,100,0,100,0,100,500,191,1033
89443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1030
90443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,50,100,0,100,0,100,500,191,1035
91443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1034
92443,1000,89,0,0,0,0,0,0,500,2,3,500,189,2,10,50,100,0,100,0,100,500,189,1026
93443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,50,100,0,100,0,100,500,190,1032
