time,f7_time,stage,type,id,target,position,velocity,current,state,code,desired_position,chirp_phase
0.010767088970169425,156.763,observe,1,2,,131.43812561035156,-2.6043739318847656,-0.0,0,1,,
0.010767088970169425,156.763,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.010767088970169425,156.763,observe,0,4,,0.0,-0.0,-0.019999999552965164,0,1,,
0.010767088970169425,156.763,observe,0,1,,-0.0005965481395833194,0.0,-0.014999999664723873,0,1,,
0.02073285897495225,156.773,observe,1,2,,131.43251037597656,-7.5902605056762695,-0.0,0,1,,
0.02073285897495225,156.773,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.02073285897495225,156.773,observe,0,4,,0.0,-0.0,-0.019999999552965164,0,1,,
0.02073285897495225,156.773,observe,0,1,,-0.0005965481395833194,0.0,-0.014999999664723873,0,1,,
0.030309535970445722,156.783,observe,1,2,,131.43812561035156,0.668084979057312,-0.0,0,1,,
0.030309535970445722,156.783,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.030309535970445722,156.783,observe,0,4,,0.0,-0.0,-0.019999999552965164,0,1,,
0.030309535970445722,156.783,observe,0,1,,-0.0005965481395833194,0.0,-0.014999999664723873,0,1,,
0.04086005699355155,156.793,observe,1,2,,131.44097900390625,1.4965229034423828,-0.0,0,1,,
0.04086005699355155,156.793,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.04086005699355155,156.793,observe,0,4,,0.0,-0.0,0.004000000189989805,0,1,,
0.04086005699355155,156.793,observe,0,1,,-0.0005965481395833194,0.0,-0.014999999664723873,0,1,,
0.05067321000387892,156.803,observe,1,2,,131.43528747558594,-4.763572692871094,-0.0,0,1,,
0.05067321000387892,156.803,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.05067321000387892,156.803,observe,0,4,,0.0,-0.0,0.004000000189989805,0,1,,
0.05067321000387892,156.803,observe,0,1,,-0.0005965481395833194,0.0,-0.014999999664723873,0,1,,
0.0607370039797388,156.813,observe,1,2,,131.44097900390625,4.8910369873046875,-0.0,0,1,,
0.0607370039797388,156.813,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.0607370039797388,156.813,observe,0,4,,0.0,-0.0,0.02800000086426735,0,1,,
0.0607370039797388,156.813,observe,0,1,,-0.0005965481395833194,0.0,-0.05299999937415123,0,1,,
0.07050531200366095,156.823,observe,1,2,,131.44381713867188,4.378170013427734,-0.0,0,1,,
0.07050531200366095,156.823,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.07050531200366095,156.823,observe,0,4,,0.0,-0.0,0.004000000189989805,0,1,,
0.07050531200366095,156.823,observe,0,1,,-0.0005965481395833194,0.0,0.019999999552965164,0,1,,
0.08053905999986455,156.833,observe,1,2,,131.44381713867188,5.29065465927124,-0.0,0,1,,
0.08053905999986455,156.833,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.08053905999986455,156.833,observe,0,4,,0.0,-0.0,-0.019999999552965164,0,1,,
0.08053905999986455,156.833,observe,0,1,,-0.0005965481395833194,0.0,-0.014999999664723873,0,1,,
0.09037499595433474,156.843,observe,1,2,,131.4466552734375,3.4083621501922607,-0.0,0,1,,
0.09037499595433474,156.843,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.09037499595433474,156.843,observe,0,4,,0.0,-0.0,-0.019999999552965164,0,1,,
