tick,id,address,value
48165,1,28698,-0.03451243415474892
48166,1,28700,24.2115478515625
48185,1,28698,-0.027085116133093834
48206,1,28698,-0.020940937101840973
48225,1,28698,-0.01867307536303997
48245,1,28698,-0.018309734761714935
48265,1,28698,-0.015614510513842106
48285,1,28698,-0.015084534883499146
48305,1,28698,-0.02010294795036316
48325,1,28698,-0.020746776834130287
48345,1,28698,-0.023744847625494003
48365,1,28698,-0.02224985882639885
48366,1,28700,24.2115478515625
48385,1,28698,-0.023069672286510468
48405,1,28698,-0.026528872549533844
48425,1,28698,-0.02461536042392254
48445,1,28698,-0.02629004418849945
48465,1,28698,-0.02901657298207283
48485,1,28698,-0.027858471497893333
48505,1,28698,-0.028421567752957344
48525,1,28698,-0.033586885780096054
48545,1,28698,-0.034571822732686996
48565,1,28698,-0.03483929485082626
48566,1,28700,24.2115478515625
48585,1,28698,-0.038920506834983826
48605,1,28698,-0.03576219826936722
48625,1,28698,-0.04015643149614334
48645,1,28698,-0.04192760959267616
48665,1,28698,-0.044880758970975876
48685,1,28698,-0.040172748267650604
48705,1,28698,-0.045119237154722214
48725,1,28698,-0.04447714984416962
48745,1,28698,-0.05037068575620651
48765,1,28698,-0.047994375228881836
48766,1,28700,24.24663543701172
48785,1,28698,-0.04979553818702698
48805,1,28698,-0.05134535953402519
48825,1,28698,-0.042981717735528946
48845,1,28698,-0.03334430977702141
48865,1,28698,-0.033257901668548584
48885,1,28698,-0.035962387919425964
48905,1,28698,-0.052229300141334534
48925,1,28698,-0.04956484213471413
48945,1,28698,-0.06374860554933548
48965,1,28698,-0.05413929373025894
48966,1,28700,24.2115478515625
48985,1,28698,-0.04816501960158348
49005,1,28698,-0.0355694442987442
49025,1,28698,-0.03317030891776085
49045,1,28698,-0.028711510822176933
49065,1,28698,-0.04038701951503754
49085,1,28698,-0.04661433398723602
49105,1,28698,-0.05629510432481766
49125,1,28698,-0.04031827673316002
49145,1,28698,-0.0396260991692543
49165,1,28698,-0.056308481842279434
49166,1,28700,24.2115478515625
49185,1,28698,-0.05711795762181282
49205,1,28698,0.20064932107925415
49225,1,28698,1.170937180519104
49245,1,28698,2.2656664848327637
49265,1,28698,3.2322990894317627
49285,1,28698,3.9130983352661133
49305,1,28698,4.2851457595825195
49325,1,28698,4.195802688598633
49345,1,28698,3.991852283477783
49365,1,28698,3.828056812286377
49366,1,28700,24.106279373168945
49385,1,28698,3.386247396469116
49405,1,28698,3.036133050918579
49425,1,28698,2.5222299098968506
49445,1,28698,2.1535909175872803
49465,1,28698,1.707737922668457
49485,1,28698,1.3755236864089966
49505,1,28698,0.9912148118019104
49525,1,28698,0.8788316249847412
49545,1,28698,1.0327481031417847
49565,1,28698,1.0982239246368408
49566,1,28700,24.2115478515625
49585,1,28698,1.0929490327835083
49605,1,28698,1.079857587814331
49625,1,28698,1.0654245615005493
49645,1,28698,0.9486061930656433
49665,1,28698,0.7764939069747925
49685,1,28698,0.7635229825973511
49705,1,28698,0.9205005764961243
49725,1,28698,1.0571792125701904
49745,1,28698,1.1636520624160767
49765,1,28698,1.1527373790740967
49766,1,28700,24.2115478515625
49785,1,28698,0.9657289385795593
49805,1,28698,0.6074700951576233
49825,1,28698,0.28164222836494446
49845,1,28698,-0.0372275672852993
49865,1,28698,-0.13940833508968353
49885,1,28698,-0.02549581788480282
49905,1,28698,-0.4061410427093506
49925,1,28698,-0.7966822385787964
49945,1,28698,-1.3478682041168213
49965,1,28698,-1.7387292385101318
49966,1,28700,24.17645835876465
49986,1,28698,-2.0886900424957275
50005,1,28698,-2.4992501735687256
50025,1,28698,-2.723653793334961
50045,1,28698,-2.7124717235565186
50065,1,28698,-2.6261160373687744
50085,1,28698,-2.5917999744415283
50105,1,28698,-2.4816861152648926
50125,1,28698,-2.404019355773926
50145,1,28698,-2.184680938720703
50165,1,28698,-1.9248993396759033
50166,1,28700,24.17645835876465
50185,1,28698,-1.7019410133361816
50205,1,28698,-1.42173433303833
50225,1,28698,-1.0892822742462158
50245,1,28698,-0.9135170578956604
50265,1,28698,-0.748540461063385
50285,1,28698,-0.6368153095245361
50305,1,28698,-0.6059775948524475
50325,1,28698,-0.6012502312660217
50345,1,28698,-0.5634586215019226
50365,1,28698,-0.5738554000854492
50366,1,28700,24.2115478515625
50385,1,28698,-0.7083540558815002
50405,1,28698,-0.6993940472602844
50425,1,28698,-0.4880797863006592
50445,1,28698,-0.2669628858566284
50465,1,28698,-0.15858778357505798
50485,1,28698,-0.12236195057630539
50505,1,28698,-0.060223303735256195
50525,1,28698,-0.11300616711378098
50545,1,28698,0.06693963706493378
50565,1,28698,0.19099122285842896
50566,1,28700,24.2115478515625
50585,1,28698,0.05451173335313797
50605,1,28698,0.22215497493743896
50625,1,28698,0.40938660502433777
50645,1,28698,0.5308589339256287
50665,1,28698,0.5852870345115662
50685,1,28698,0.6458575129508972
50705,1,28698,0.8459925651550293
50725,1,28698,1.0696040391921997
50745,1,28698,1.3052293062210083
50765,1,28698,1.470267415046692
50766,1,28700,24.2115478515625
50785,1,28698,1.750679850578308
50805,1,28698,1.9973047971725464
50825,1,28698,2.299436092376709
50845,1,28698,2.3935956954956055
50865,1,28698,2.431246519088745
50885,1,28698,2.532512903213501
50905,1,28698,2.5730581283569336
50925,1,28698,2.6687583923339844
50945,1,28698,2.568953037261963
50965,1,28698,2.554778575897217
50966,1,28700,24.141368865966797
50985,1,28698,2.287022590637207
51005,1,28698,2.044757127761841
51025,1,28698,1.7496587038040161
51045,1,28698,1.5210648775100708
51065,1,28698,1.3039509057998657
51085,1,28698,1.2901687622070312
51105,1,28698,1.4989265203475952
51125,1,28698,1.687722086906433
51145,1,28698,1.7911287546157837
51165,1,28698,1.6707019805908203
51166,1,28700,24.17645835876465
51185,1,28698,1.5740967988967896
51205,1,28698,1.3740956783294678
51225,1,28698,1.2126357555389404
51245,1,28698,1.0853385925292969
51265,1,28698,1.0397539138793945
51285,1,28698,0.9170405268669128
51305,1,28698,0.7677063941955566
51325,1,28698,0.743892252445221
51345,1,28698,0.6821179389953613
51365,1,28698,0.5701909065246582
51366,1,28700,24.2115478515625
51385,1,28698,0.6463817358016968
51405,1,28698,0.734424352645874
51425,1,28698,0.7594038844108582
51445,1,28698,0.7618464231491089
51465,1,28698,0.7936935424804688
51485,1,28698,0.8461536765098572
51505,1,28698,0.8239956498146057
51525,1,28698,0.6181437373161316
51545,1,28698,0.19105415046215057
51565,1,28698,0.07852346450090408
51566,1,28700,24.24663543701172
51585,1,28698,0.007251687813550234
51605,1,28698,0.029258709400892258
51625,1,28698,-0.480991393327713
51645,1,28698,-1.0634052753448486
51665,1,28698,-1.5781867504119873
51685,1,28698,-1.9650936126708984
51705,1,28698,-2.442338466644287
51725,1,28698,-2.646667242050171
51745,1,28698,-2.7251229286193848
51765,1,28698,-2.8782341480255127
51766,1,28700,24.141368865966797
51785,1,28698,-2.9098339080810547
51805,1,28698,-2.724517822265625
51825,1,28698,-2.4199366569519043
51845,1,28698,-2.179576873779297
51865,1,28698,-1.8922479152679443
51885,1,28698,-1.5331377983093262
51905,1,28698,-1.3958622217178345
51925,1,28698,-1.1186598539352417
51945,1,28698,-0.8922697901725769
51965,1,28698,-0.6132460236549377
51966,1,28700,24.2115478515625
51985,1,28698,-0.5445018410682678
52005,1,28698,-0.3400290608406067
52025,1,28698,-0.187030628323555
52045,1,28698,-0.10167869925498962
52065,1,28698,-0.16398856043815613
52085,1,28698,-0.2944767475128174
52105,1,28698,-0.23585142195224762
52125,1,28698,-0.08856818079948425
52145,1,28698,-0.08407589048147202
52165,1,28698,0.3171157240867615
52166,1,28700,24.2115478515625
52185,1,28698,-0.019566582515835762
52205,1,28698,0.21667487919330597
52225,1,28698,0.42007729411125183
52245,1,28698,0.49080976843833923
52265,1,28698,0.507809042930603
52285,1,28698,0.5781785249710083
52305,1,28698,0.8010683655738831
52325,1,28698,1.0552608966827393
52345,1,28698,1.3168567419052124
52365,1,28698,1.5373852252960205
52366,1,28700,24.17645835876465
52385,1,28698,2.0053935050964355
52405,1,28698,2.4991629123687744
52425,1,28698,2.6571924686431885
52445,1,28698,2.736257791519165
52465,1,28698,2.678037405014038
52485,1,28698,2.5549230575561523
52505,1,28698,2.6387195587158203
52525,1,28698,2.6847786903381348
52545,1,28698,2.74497389793396
52565,1,28698,2.6073954105377197
52566,1,28700,24.141368865966797
52585,1,28698,2.407292366027832
52605,1,28698,1.9010381698608398
52625,1,28698,1.4873101711273193
52645,1,28698,1.2221639156341553
52665,1,28698,1.034237265586853
52685,1,28698,0.9099099636077881
52705,1,28698,1.0169343948364258
52725,1,28698,1.233173131942749
52745,1,28698,1.2987658977508545
52765,1,28698,1.263053059577942
52766,1,28700,24.17645835876465
52785,1,28698,1.046341896057129
52806,1,28698,0.8946042060852051
52825,1,28698,0.9124767184257507
52845,1,28698,0.8429548740386963
52865,1,28698,0.6678089499473572
52885,1,28698,0.6008278131484985
52905,1,28698,0.410378634929657
52925,1,28698,0.21079987287521362
52945,1,28698,0.08783498406410217
52965,1,28698,-0.024570658802986145
52966,1,28700,24.2115478515625
52985,1,28698,-0.04031958431005478
53005,1,28698,-0.08879228681325912
53025,1,28698,-0.161234050989151
53045,1,28698,-0.023311888799071312
53065,1,28698,-0.32784348726272583
53085,1,28698,-0.7428087592124939
53105,1,28698,-1.23164963722229
53125,1,28698,-1.569593071937561
53145,1,28698,-1.86813485622406
53165,1,28698,-2.144312620162964
53166,1,28700,24.141368865966797
53185,1,28698,-2.446014642715454
53205,1,28698,-2.545020818710327
53225,1,28698,-2.4634640216827393
53245,1,28698,-2.470949172973633
53265,1,28698,-2.4085841178894043
53285,1,28698,-2.2107770442962646
53305,1,28698,-1.8433560132980347
53325,1,28698,-1.5327928066253662
53345,1,28698,-1.2105296850204468
53365,1,28698,-0.9804873466491699
53366,1,28700,24.2115478515625
53385,1,28698,-0.7165650129318237
53405,1,28698,-0.6172263622283936
53425,1,28698,-0.3899264633655548
53445,1,28698,-0.18876014649868011
53465,1,28698,0.047198496758937836
53485,1,28698,-0.03486897423863411
53505,1,28698,0.019330790266394615
53525,1,28698,-0.09956145286560059
53545,1,28698,0.10508343577384949
53565,1,28698,0.03665611147880554
53566,1,28700,24.2115478515625
53585,1,28698,0.1678461879491806
53605,1,28698,0.4025956094264984
53625,1,28698,0.550671398639679
53645,1,28698,0.7104543447494507
53665,1,28698,0.8607650399208069
53685,1,28698,1.0749174356460571
53705,1,28698,1.239789366722107
53725,1,28698,1.5011529922485352
53745,1,28698,1.8164654970169067
53765,1,28698,2.360856771469116
53766,1,28700,24.17645835876465
53785,1,28698,2.913543224334717
53805,1,28698,3.143791913986206
53825,1,28698,3.313462734222412
53845,1,28698,3.215928792953491
53865,1,28698,2.9668827056884766
53885,1,28698,2.8204476833343506
53905,1,28698,2.713420867919922
53925,1,28698,2.651944875717163
53945,1,28698,2.344593048095703
53965,1,28698,1.9579589366912842
53966,1,28700,24.141368865966797
53985,1,28698,1.684420108795166
54005,1,28698,1.2650365829467773
54025,1,28698,0.8991349339485168
54045,1,28698,0.7790942192077637
54065,1,28698,0.7892711162567139
54085,1,28698,0.8011580109596252
54105,1,28698,0.7465814352035522
54125,1,28698,0.6381394863128662
54145,1,28698,0.5470396280288696
54165,1,28698,0.5371373295783997
54166,1,28700,24.2115478515625
54185,1,28698,0.4337213933467865
54205,1,28698,0.25095292925834656
54225,1,28698,0.11806347966194153
54245,1,28698,-0.024593805894255638
54265,1,28698,-0.013178096152842045
54285,1,28698,-0.07689076662063599
54305,1,28698,-0.04322940483689308
54325,1,28698,-0.10003311932086945
54345,1,28698,-0.42244380712509155
54365,1,28698,-0.8594794869422913
54366,1,28700,24.2115478515625
54385,1,28698,-1.196129322052002
54405,1,28698,-1.6867139339447021
54425,1,28698,-2.020721435546875
54445,1,28698,-2.2468693256378174
54465,1,28698,-2.3247570991516113
54485,1,28698,-2.3647971153259277
54505,1,28698,-2.304417371749878
54525,1,28698,-2.173722505569458
54545,1,28698,-1.9184452295303345
54565,1,28698,-1.7628579139709473
54566,1,28700,24.17645835876465
54585,1,28698,-1.5101786851882935
54605,1,28698,-1.2829742431640625
54625,1,28698,-0.9124033451080322
54645,1,28698,-0.6468841433525085
54665,1,28698,-0.5480248332023621
54685,1,28698,-0.23220820724964142
54705,1,28698,-0.18331438302993774
54725,1,28698,0.18675851821899414
54745,1,28698,0.0817776620388031
54765,1,28698,0.16581924259662628
54766,1,28700,24.2115478515625
54785,1,28698,0.3276388645172119
54805,1,28698,0.3947960138320923
54825,1,28698,0.4995293617248535
54845,1,28698,0.5684539079666138
54865,1,28698,0.6603977680206299
54885,1,28698,0.8420318365097046
54905,1,28698,1.0678975582122803
54925,1,28698,1.2485008239746094
54945,1,28698,1.5162807703018188
54965,1,28698,2.068664073944092
54966,1,28700,24.17645835876465
54985,1,28698,2.713156223297119
55005,1,28698,3.2430996894836426
55025,1,28698,3.481795310974121
55045,1,28698,3.5814895629882812
55065,1,28698,3.3142452239990234
55085,1,28698,3.220574140548706
55105,1,28698,2.891151189804077
55125,1,28698,2.7342417240142822
55145,1,28698,2.383699655532837
55165,1,28698,2.1695709228515625
55166,1,28700,24.141368865966797
55185,1,28698,1.7571568489074707
55205,1,28698,1.3311994075775146
55225,1,28698,0.9574559330940247
55245,1,28698,0.7981832027435303
55265,1,28698,0.5630119442939758
55285,1,28698,0.30744099617004395
55305,1,28698,0.17201071977615356
55325,1,28698,0.04030825197696686
55345,1,28698,0.0996200367808342
55365,1,28698,-0.1168108880519867
55366,1,28700,24.2115478515625
55385,1,28698,0.12301485240459442
55405,1,28698,-0.11828948557376862
55425,1,28698,-0.013973875902593136
55445,1,28698,-0.31331759691238403
55465,1,28698,-0.7129986882209778
55485,1,28698,-1.1908026933670044
55505,1,28698,-1.6369293928146362
55525,1,28698,-2.068706750869751
55545,1,28698,-2.4601850509643555
55565,1,28698,-2.6024584770202637
55566,1,28700,24.106279373168945
