time,f7_time,stage,type,id,target,position,velocity,current,state,code
0.00834924099035561,7.712,observe,1,2,,112.47074890136719,15.671960830688477,-0.0,0,1
0.00834924099035561,7.712,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.00834924099035561,7.712,observe,0,4,,0.0,-0.0,-0.004000000189989805,0,1
0.00834924099035561,7.712,observe,0,1,,0.0,0.0,-0.014000000432133675,0,1
0.017854764009825885,7.722,observe,1,2,,112.46223449707031,8.018213272094727,-0.0,0,1
0.017854764009825885,7.722,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.017854764009825885,7.722,observe,0,4,,0.0,-0.0,-0.004000000189989805,0,1
0.017854764009825885,7.722,observe,0,1,,0.0,0.0,-0.014000000432133675,0,1
0.028380378033034503,7.732,observe,1,2,,112.45376586914062,1.0450459718704224,-0.0,0,1
0.028380378033034503,7.732,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.028380378033034503,7.732,observe,0,4,,0.0,-0.0,0.01899999938905239,0,1
0.028380378033034503,7.732,observe,0,1,,0.0,0.0,0.052000001072883606,0,1
0.038245465024374425,7.742,observe,1,2,,112.45091247558594,-3.9744765758514404,-0.0,0,1
0.038245465024374425,7.742,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.038245465024374425,7.742,observe,0,4,,0.0,-0.0,-0.004000000189989805,0,1
0.038245465024374425,7.742,observe,0,1,,0.0,0.0,0.052000001072883606,0,1
0.04794679000042379,7.752,observe,1,2,,112.45944213867188,0.34268030524253845,-0.0,0,1
0.04794679000042379,7.752,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.04794679000042379,7.752,observe,0,4,,0.0,-0.0,-0.004000000189989805,0,1
0.04794679000042379,7.752,observe,0,1,,0.0,0.0,0.052000001072883606,0,1
0.05834741599392146,7.7620000000000005,observe,1,2,,112.46507263183594,0.4738166630268097,-0.0,0,1
0.05834741599392146,7.7620000000000005,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.05834741599392146,7.7620000000000005,observe,0,4,,0.0,-0.0,-0.004000000189989805,0,1
0.05834741599392146,7.7620000000000005,observe,0,1,,0.0,0.0,-0.014000000432133675,0,1
0.06801298301434144,7.772,observe,1,2,,112.45660400390625,-0.6642200350761414,-0.0,0,1
0.06801298301434144,7.772,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.06801298301434144,7.772,observe,0,4,,0.0,-0.0,-0.028999999165534973,0,1
0.06801298301434144,7.772,observe,0,1,,0.0,0.0,-0.014000000432133675,0,1
0.0781488050124608,7.782,observe,1,2,,112.46507263183594,2.955007314682007,-0.0,0,1
0.0781488050124608,7.782,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.0781488050124608,7.782,observe,0,4,,0.0,-0.0,-0.004000000189989805,0,1
0.0781488050124608,7.782,observe,0,1,,0.0,0.0,0.052000001072883606,0,1
0.08815842703916132,7.792,observe,1,2,,112.46507263183594,-6.403170585632324,-0.0,0,1
0.08815842703916132,7.792,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.08815842703916132,7.792,observe,0,4,,0.0,-0.0,0.25200000405311584,0,1
0.08815842703916132,7.792,observe,0,1,,0.0,0.0,-0.014000000432133675,0,1
0.09779967804206535,7.802,observe,1,2,,112.47074890136719,8.026081085205078,-0.0,0,1
0.09779967804206535,7.802,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.09779967804206535,7.802,observe,0,4,,0.0,-0.0,0.01899999938905239,0,1
0.09779967804206535,7.802,observe,0,1,,0.0,0.0,0.04600000008940697,0,1
0.10816235200036317,7.812,observe,1,2,,112.45376586914062,-3.567020893096924,-0.0,0,1
0.10816235200036317,7.812,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.10816235200036317,7.812,observe,0,4,,0.0,-0.0,-0.004000000189989805,0,1
0.10816235200036317,7.812,observe,0,1,,0.0,0.0,-0.014000000432133675,0,1
0.11801530601223931,7.822,observe,1,2,,112.45091247558594,-5.869823932647705,-0.0,0,1
0.11801530601223931,7.822,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.11801530601223931,7.822,observe,0,4,,0.0,-0.0,-0.004000000189989805,0,1
0.11801530601223931,7.822,observe,0,1,,0.0,0.0,-0.014000000432133675,0,1
0.12820629304042086,7.832,observe,1,2,,112.45944213867188,0.5552891492843628,-0.0,0,1
0.12820629304042086,7.832,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.12820629304042086,7.832,observe,0,4,,0.0,-0.0,0.04399999976158142,0,1
0.12820629304042086,7.832,observe,0,1,,0.0,0.0,0.052000001072883606,0,1
0.13805680203950033,7.8420000000000005,observe,1,2,,112.46223449707031,3.6841185092926025,-0.0,0,1
0.13805680203950033,7.8420000000000005,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.13805680203950033,7.8420000000000005,observe,0,4,,0.0,-0.0,-0.028999999165534973,0,1
0.13805680203950033,7.8420000000000005,observe,0,1,,0.0,0.0,-0.014000000432133675,0,1
0.14815927000017837,7.852,observe,1,2,,112.46223449707031,10.176822662353516,-0.0,0,1
0.14815927000017837,7.852,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.14815927000017837,7.852,observe,0,4,,0.0,-0.0,-0.05299999937415123,0,1
0.14815927000017837,7.852,observe,0,1,,0.0,0.0,0.052000001072883606,0,1
0.15783784200903028,7.862,observe,1,2,,112.45944213867188,-0.4585656523704529,-0.0,0,1
0.15783784200903028,7.862,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.15783784200903028,7.862,observe,0,4,,0.0,-0.0,0.04399999976158142,0,1
0.15783784200903028,7.862,observe,0,1,,0.0,0.0,-0.00800000037997961,0,1
0.1680859780171886,7.872,observe,1,2,,112.45091247558594,-2.4728786945343018,-0.0,0,1
0.1680859780171886,7.872,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.1680859780171886,7.872,observe,0,4,,0.0,-0.0,-0.028999999165534973,0,1
0.1680859780171886,7.872,observe,0,1,,0.0,0.0,-0.00800000037997961,0,1
0.17785110499244183,7.882,observe,1,2,,112.46507263183594,5.011061191558838,-0.0,0,1
0.17785110499244183,7.882,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.17785110499244183,7.882,observe,0,4,,0.0,-0.0,-0.004000000189989805,0,1
0.17785110499244183,7.882,observe,0,1,,0.0,0.0,-0.014000000432133675,0,1
0.18794741202145815,7.892,observe,1,2,,112.45944213867188,1.4777930974960327,-0.0,0,1
0.18794741202145815,7.892,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.18794741202145815,7.892,observe,0,4,,0.0,-0.0,-0.004000000189989805,0,1
0.18794741202145815,7.892,observe,0,1,,0.0,0.0,0.052000001072883606,0,1
0.19772548304172233,7.902,observe,1,2,,112.45660400390625,-1.2990710735321045,-0.0,0,1
0.19772548304172233,7.902,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.19772548304172233,7.902,observe,0,4,,0.0,-0.0,-0.004000000189989805,0,1
0.19772548304172233,7.902,observe,0,1,,0.0,0.0,-0.019999999552965164,0,1
0.20787050301441923,7.912,observe,1,2,,112.45944213867188,0.38211241364479065,-0.0,0,1
0.20787050301441923,7.912,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.20787050301441923,7.912,observe,0,4,,0.0,-0.0,0.04399999976158142,0,1
0.20787050301441923,7.912,observe,0,1,,0.0,0.0,-0.014000000432133675,0,1
0.21764815301867202,7.922,observe,1,2,,112.45376586914062,-4.9584197998046875,-0.0,0,1
0.21764815301867202,7.922,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.21764815301867202,7.922,observe,0,4,,0.0,-0.0,-0.004000000189989805,0,1
0.21764815301867202,7.922,observe,0,1,,0.0,0.0,-0.20399999618530273,0,1
0.22783853899454698,7.932,observe,1,2,,112.45660400390625,-1.633664608001709,-0.0,0,1
0.22783853899454698,7.932,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.22783853899454698,7.932,observe,0,4,,0.0,-0.0,-0.028999999165534973,0,1
0.22783853899454698,7.932,observe,0,1,,0.0,0.0,-0.014000000432133675,0,1
0.23763356200652197,7.942,observe,1,2,,112.46223449707031,3.600590705871582,-0.0,0,1
0.23763356200652197,7.942,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.23763356200652197,7.942,observe,0,4,,0.0,-0.0,-0.028999999165534973,0,1
0.23763356200652197,7.942,observe,0,1,,0.0,0.0,-0.014000000432133675,0,1
0.24796539801172912,7.952,observe,1,2,,112.45660400390625,-3.8856709003448486,-0.0,0,1
0.24796539801172912,7.952,observe,1,1,,-86.3349609375,-0.0,-0.0,0,1
0.24796539801172912,7.952,observe,0,4,,0.0,-0.0,0.01899999938905239,0,1
0.24796539801172912,7.952,observe,0,1,,0.0,0.0,0.052000001072883606,0,1
