tick_ms,position_mm,velocity_mm_s,target_mm_s,internal_model_mm_s,current_command_A,unsaturated_current_A,saturated
8.310600000000000000e+04,2.494590000000000032e+02,-0.000000000000000000e+00,4.000000000000000000e+02,1.568399999999999928e+01,6.000000000000000000e+00,1.596199999999999974e+01,1.000000000000000000e+00
8.310800000000000000e+04,2.494600000000000080e+02,1.829999999999999960e-01,4.000000000000000000e+02,3.075300000000000011e+01,6.000000000000000000e+00,2.347500000000000142e+01,1.000000000000000000e+00
8.311000000000000000e+04,2.494720000000000084e+02,4.216999999999999638e+00,4.000000000000000000e+02,4.523199999999999932e+01,6.000000000000000000e+00,2.868900000000000006e+01,1.000000000000000000e+00
8.311600000000000000e+04,2.496229999999999905e+02,3.057100000000000151e+01,4.000000000000000000e+02,8.534900000000000375e+01,6.000000000000000000e+00,3.526500000000000057e+01,1.000000000000000000e+00
8.311800000000000000e+04,2.497319999999999993e+02,4.954599999999999937e+01,4.000000000000000000e+02,9.768600000000000705e+01,6.000000000000000000e+00,3.164499999999999957e+01,1.000000000000000000e+00
8.312000000000000000e+04,2.498410000000000082e+02,5.422099999999999653e+01,4.000000000000000000e+02,1.095400000000000063e+02,6.000000000000000000e+00,3.521900000000000119e+01,1.000000000000000000e+00
8.312400000000000000e+04,2.501539999999999964e+02,7.975000000000000000e+01,4.000000000000000000e+02,1.318720000000000141e+02,6.000000000000000000e+00,3.327100000000000080e+01,1.000000000000000000e+00
8.312600000000000000e+04,2.503540000000000134e+02,8.781699999999999307e+01,4.000000000000000000e+02,1.423849999999999909e+02,6.000000000000000000e+00,3.441400000000000148e+01,1.000000000000000000e+00
8.312800000000000000e+04,2.506339999999999861e+02,1.025750000000000028e+02,4.000000000000000000e+02,1.524869999999999948e+02,6.000000000000000000e+00,3.187399999999999878e+01,1.000000000000000000e+00
8.313000000000000000e+04,2.508729999999999905e+02,1.117879999999999967e+02,4.000000000000000000e+02,1.621920000000000073e+02,6.000000000000000000e+00,3.202100000000000080e+01,1.000000000000000000e+00
8.313200000000000000e+04,2.511359999999999957e+02,1.287460000000000093e+02,4.000000000000000000e+02,1.715159999999999911e+02,6.000000000000000000e+00,2.795200000000000173e+01,1.000000000000000000e+00
8.313400000000000000e+04,2.514130000000000109e+02,1.376370000000000005e+02,4.000000000000000000e+02,1.804749999999999943e+02,6.000000000000000000e+00,2.789499999999999957e+01,1.000000000000000000e+00
8.313600000000000000e+04,2.517270000000000039e+02,1.463919999999999959e+02,4.000000000000000000e+02,1.890829999999999984e+02,6.000000000000000000e+00,2.773499999999999943e+01,1.000000000000000000e+00
8.313800000000000000e+04,2.520380000000000109e+02,1.599579999999999984e+02,4.000000000000000000e+02,1.973530000000000086e+02,6.000000000000000000e+00,2.490399999999999991e+01,1.000000000000000000e+00
8.314000000000000000e+04,2.523870000000000005e+02,1.705459999999999923e+02,4.000000000000000000e+02,2.052990000000000066e+02,6.000000000000000000e+00,2.346199999999999974e+01,1.000000000000000000e+00
8.314200000000000000e+04,2.527570000000000050e+02,1.823249999999999886e+02,4.000000000000000000e+02,2.129329999999999927e+02,6.000000000000000000e+00,2.124500000000000099e+01,1.000000000000000000e+00
8.314400000000000000e+04,2.531519999999999868e+02,1.927290000000000134e+02,4.000000000000000000e+02,2.202680000000000007e+02,6.000000000000000000e+00,1.959400000000000119e+01,1.000000000000000000e+00
8.314600000000000000e+04,2.535540000000000020e+02,2.039579999999999984e+02,4.000000000000000000e+02,2.273160000000000025e+02,6.000000000000000000e+00,1.737099999999999866e+01,1.000000000000000000e+00
8.314800000000000000e+04,2.539840000000000089e+02,2.143619999999999948e+02,4.000000000000000000e+02,2.340869999999999891e+02,6.000000000000000000e+00,1.543900000000000006e+01,1.000000000000000000e+00
8.315000000000000000e+04,2.544509999999999934e+02,2.202290000000000134e+02,4.000000000000000000e+02,2.405920000000000130e+02,6.000000000000000000e+00,1.573300000000000054e+01,1.000000000000000000e+00
8.315400000000000000e+04,2.554159999999999968e+02,2.470869999999999891e+02,4.000000000000000000e+02,2.528480000000000132e+02,6.000000000000000000e+00,8.083000000000000185e+00,1.000000000000000000e+00
8.315600000000000000e+04,2.559370000000000118e+02,2.536419999999999959e+02,4.000000000000000000e+02,2.586179999999999950e+02,6.000000000000000000e+00,7.652999999999999581e+00,1.000000000000000000e+00
8.315800000000000000e+04,2.564719999999999800e+02,2.663829999999999814e+02,4.000000000000000000e+02,2.641619999999999777e+02,3.896999999999999797e+00,3.896999999999999797e+00,0.000000000000000000e+00
8.316000000000000000e+04,2.570310000000000059e+02,2.762830000000000155e+02,4.000000000000000000e+02,2.694879999999999995e+02,1.415999999999999925e+00,1.415999999999999925e+00,0.000000000000000000e+00
8.316400000000000000e+04,2.581739999999999782e+02,2.871920000000000073e+02,4.000000000000000000e+02,2.795219999999999914e+02,5.440000000000000391e-01,5.440000000000000391e-01,0.000000000000000000e+00
8.316600000000000000e+04,2.587409999999999854e+02,2.846709999999999923e+02,4.000000000000000000e+02,2.842459999999999809e+02,4.099999999999999645e+00,4.099999999999999645e+00,0.000000000000000000e+00
8.316800000000000000e+04,2.593050000000000068e+02,2.850380000000000109e+02,4.000000000000000000e+02,2.887850000000000250e+02,6.000000000000000000e+00,6.214000000000000412e+00,1.000000000000000000e+00
8.317000000000000000e+04,2.598870000000000005e+02,2.866879999999999882e+02,4.000000000000000000e+02,2.931460000000000150e+02,6.000000000000000000e+00,7.644999999999999574e+00,1.000000000000000000e+00
8.317200000000000000e+04,2.604959999999999809e+02,2.975960000000000036e+02,4.000000000000000000e+02,2.973360000000000127e+02,4.182999999999999829e+00,4.182999999999999829e+00,0.000000000000000000e+00
8.317400000000000000e+04,2.611080000000000041e+02,3.095129999999999768e+02,4.000000000000000000e+02,3.013609999999999900e+02,2.900000000000000147e-02,2.900000000000000147e-02,0.000000000000000000e+00
8.317600000000000000e+04,2.617429999999999950e+02,3.179460000000000264e+02,4.000000000000000000e+02,3.052289999999999850e+02,-2.567000000000000171e+00,-2.567000000000000171e+00,0.000000000000000000e+00
8.317800000000000000e+04,2.623890000000000100e+02,3.162500000000000000e+02,4.000000000000000000e+02,3.089449999999999932e+02,-6.700000000000000400e-02,-6.700000000000000400e-02,0.000000000000000000e+00
8.318000000000000000e+04,2.629870000000000232e+02,3.123999999999999773e+02,4.000000000000000000e+02,3.125149999999999864e+02,3.596999999999999975e+00,3.596999999999999975e+00,0.000000000000000000e+00
