time_s,ideal_unit_step_response,estimate_60_deg_s,sensitivity_min_60_deg_s,sensitivity_max_60_deg_s,estimate_120_deg_s,sensitivity_min_120_deg_s,sensitivity_max_120_deg_s,estimate_400_deg_s,sensitivity_min_400_deg_s,sensitivity_max_400_deg_s
0.0,0.0,7.28595849039402e-15,1.0296395422778816e-15,7.892971935851377e-15,-5.181964070281481e-14,-5.181964070281481e-14,0.0,9.562839289695613e-14,4.020499324080512e-14,5.848390298606352e-13
0.02,0.18126924692201818,22.494237706594607,14.891518016684204,34.6586524981342,43.50080821246328,29.83392180097604,61.865259563085495,137.30714493704934,96.72946387263515,170.75905212351486
0.04,0.3296799539643607,29.820714479560678,22.533435191379944,38.541955030273414,60.6984667609947,46.27071708762849,76.50947209267503,154.9136740399323,128.89533275164786,185.21479693084947
0.06,0.4511883639059736,29.82936776214048,25.85660792535375,32.38193946697094,63.89200679960405,54.367349645810584,71.06175887210372,130.221125758015,128.9112167413868,144.55445136257654
0.08,0.5506710358827784,29.276492672204757,28.05261499652299,29.323184079619235,64.9781941959527,60.14807888431209,66.97253123843862,137.15773798497096,134.45793780743833,163.3449044663944
0.1,0.6321205588285577,30.628425096125923,30.570009444555502,32.077673872312104,68.91192547775108,66.51468481294413,71.38674636755992,182.18276996434474,158.46175498368302,238.58846801377726
0.12,0.6988057880877978,33.04856514896777,33.04856514896777,37.35879502992506,74.5733269833424,72.93891338089354,80.84967434198033,225.42247302596704,188.3482631039488,298.9660804946187
0.14,0.7534030360583935,35.37420119865685,35.308596536974,41.98459874564063,79.93428928090286,78.21162063649554,90.38548518508084,241.08940601612957,208.6313386710019,313.94241031022784
0.16,0.7981034820053445,37.62520450581584,37.21092040437684,45.27081953662637,85.14537438841941,82.61096518765277,98.4014198369528,243.4833659475375,219.12491864076227,320.24536522905936
0.18,0.8347011117784134,40.145116826725236,39.343409331533124,47.550210243886205,91.14395712339426,87.32092451817117,105.067211831938,260.09762338940453,231.4366125081921,359.2922867125676
0.2,0.8646647167633873,42.394315520231785,41.62037752446513,48.53595885030133,97.08158229384162,92.51641616901483,109.4166433030089,295.5649389212342,252.86116618883855,423.67411080774787
0.22,0.8891968416376661,43.33078286289536,43.33078286289536,47.93051035807735,100.59133171347811,96.86979563159268,110.0546223169201,330.3131732688462,278.4126231372059,475.6447144135575
0.24,0.9092820467105875,42.832593474721904,42.832593474721904,46.818062839046775,100.59868795491873,99.09228949844942,108.04954758839907,348.30436154734616,298.44446762567355,499.54553033722726
0.26,0.9257264217856661,42.135200592514664,42.135200592514664,47.207528116162884,98.91030737989428,98.91030737989428,107.13748033884846,355.0740223582871,310.1306819464977,516.3692323280039
0.28,0.9391899373747821,42.56681424766627,42.56681424766627,49.82559546379685,98.41530534285565,98.41530534285565,110.00685013100403,366.0082397208426,318.7179360938258,549.0412795595355
0.3,0.950212931632136,44.099203050010175,44.099203050010175,52.96390015908472,100.02971692371634,100.02971692371634,115.0063595972909,384.39825726558735,328.9446635483824,590.7368702049203
0.32,0.9592377960216337,45.4765119213717,45.4765119213717,54.1387170065029,101.99683738227914,101.88926400872208,117.63709912240327,398.41715857349277,338.78719968348196,616.6256593368861
0.34,0.9666267300396739,45.7062893289087,45.7062893289087,52.809424290134395,102.17026454088816,102.17026454088816,115.46506762593381,398.4448306800367,343.06868244439966,618.3529270749207
0.36,0.9726762775527075,45.07502966348706,45.07502966348706,50.949776116538594,100.39159987549657,100.39159987549657,110.81651741031956,390.23369988486263,341.17509443320614,613.8972344922863
0.38,0.9776292281438344,44.57846727804513,44.57846727804513,50.78828117944349,98.3072999343175,98.3072999343175,108.16928029772964,387.2751163935428,338.4894312011351,622.4460844011046
0.4,0.9816843611112658,44.670072856992306,44.670072856992306,52.408684619357466,97.29517659152012,97.29517659152012,109.38218470190552,393.8086428341694,340.02017243784843,640.0746621552431
0.42,0.9850044231795223,44.92986374742465,44.92986374742465,53.961683878643484,97.23577524934264,97.23577524934264,112.22036166208427,400.8351320648855,344.7423169743043,647.4713440351027
0.44,0.9877226600969315,44.8845772759719,44.8845772759719,54.004889202881614,97.32684726422414,97.32684726422414,113.45064638084122,399.0740166438202,347.70075844137966,636.7145955289907
0.46,0.9899481642553665,44.702942131716235,44.702942131716235,53.03254825810198,97.39358889139424,97.39358889139424,112.4616939972606,390.94629851822845,346.677744109872,620.7077414124149
