tick,id,target,model,velocity,current,position,reference_current
1129313,1,399.853515625,30.742189407348633,9.576801300048828,11.0,91.2691879272461,0.8554468750953674
1129333,1,380.9582824707031,95.91852569580078,42.48739242553711,11.0,93.35660552978516,3.742323875427246
1129353,1,337.5845947265625,143.36663818359375,51.40904235839844,11.0,94.60903930664062,4.807857990264893
1129373,1,266.8653259277344,171.78793334960938,62.392799377441406,11.0,96.19107818603516,5.18225622177124
1129393,1,173.65377807617188,182.51219177246094,74.14015197753906,11.0,98.036865234375,4.48410701751709
1129413,1,124.03776550292969,175.2958984375,82.79595947265625,11.0,99.97047424316406,5.015120983123779
1129433,1,12.860032081604004,151.25869750976562,94.03741455078125,11.0,102.16777038574219,4.682214736938477
1129453,1,-97.2910385131836,112.4919662475586,106.69595336914062,0.11001622676849365,104.69466400146484,4.527741432189941
1129473,1,-203.5660858154297,63.55703353881836,105.05516052246094,-11.0,106.82606506347656,1.0465419292449951
1129493,1,-292.0023498535156,8.554656028747559,14.04548454284668,-5.69642448425293,104.65068054199219,-1.3788639307022095
1129513,1,-351.9305419921875,-50.1870002746582,7.855731010437012,-11.0,104.49691772460938,-3.7970614433288574
1129533,1,-374.0629577636719,-106.98998260498047,3.427570343017578,-11.0,104.40899658203125,-4.822857856750488
1129553,1,-398.6098327636719,-158.9045867919922,1.3355231285095215,-11.0,104.38703155517578,-4.90545129776001
1129573,1,-392.1509704589844,-201.93980407714844,-3.8857221603393555,-11.0,104.16732025146484,-4.831818103790283
1129593,1,-357.18389892578125,-233.04776000976562,-9.293675422668457,-11.0,103.81575012207031,-4.6531901359558105
1129613,1,-293.1312255859375,-250.2268524169922,-17.74936294555664,-11.0,103.22245788574219,-4.70675802230835
1129633,1,-205.31155395507812,-252.1094970703125,-33.959632873535156,-11.0,102.10181427001953,-5.092259883880615
1129653,1,-156.55747985839844,-238.11329650878906,-52.67933654785156,-11.0,100.47584533691406,-4.703836441040039
1129673,1,-47.898250579833984,-210.0550079345703,-75.94046783447266,-11.0,98.3005142211914,-4.860647678375244
1129693,1,68.29061126708984,-166.37510681152344,-102.1996078491211,-11.0,95.48795318603516,-4.568454265594482
1129713,1,176.22608947753906,-113.87874603271484,-124.08523559570312,6.164533615112305,92.30191802978516,-3.7538163661956787
1129733,1,269.9939880371094,-54.265899658203125,-108.29631042480469,11.0,90.41219329833984,0.08132711052894592
1129753,1,308.5157775878906,8.868453979492188,-15.953323364257812,11.0,93.0489730834961,2.9952809810638428
1129773,1,367.4198303222656,70.72004699707031,-11.031003952026367,11.0,92.91712188720703,4.600594997406006
1129793,1,397.5675964355469,128.373779296875,-4.740957736968994,11.0,93.00504302978516,4.795780658721924
1129813,1,394.09490966796875,177.17808532714844,1.9569112062454224,11.0,93.20278930664062,4.694097518920898
1129833,1,357.96551513671875,214.3557891845703,9.432823181152344,11.0,93.62025451660156,4.931358814239502
1129853,1,329.7359924316406,237.70138549804688,13.456050872802734,11.0,93.99383544921875,4.525598526000977
1129873,1,251.68211364746094,244.47230529785156,24.066143035888672,11.0,94.76286315917969,5.08524751663208
1129893,1,150.5765838623047,234.65274047851562,43.20441436767578,11.0,96.19107818603516,5.032652378082275
1129913,1,39.41493225097656,209.56378173828125,71.124755859375,11.0,98.410400390625,4.447485446929932
1129933,1,-23.533971786499023,171.602783203125,95.87583923339844,11.0,101.04712677001953,4.369761943817139
1129953,1,-138.11170959472656,120.98455047607422,116.97322082519531,-1.7865307331085205,104.03546905517578,4.31833553314209
1129973,1,-242.62193298339844,61.79766845703125,106.94295501708984,-11.0,106.03501892089844,0.47169849276542664
1129993,1,-322.607177734375,-0.9277615547180176,1.8945550918579102,-5.714440822601318,103.11262512207031,-1.5964508056640625
1130013,1,-373.86761474609375,-63.947235107421875,-1.7180479764938354,-11.0,102.89291381835938,-4.016402244567871
1130033,1,-391.3670959472656,-122.1050796508789,-6.225854873657227,-11.0,102.65118408203125,-4.818182945251465
1130053,1,-398.6376647949219,-172.27420043945312,-17.972740173339844,-11.0,101.99198913574219,-5.049794673919678
1130073,1,-370.33331298828125,-210.58099365234375,-32.38433837890625,-11.0,100.91532897949219,-5.151088237762451
1130093,1,-312.1520080566406,-234.67752075195312,-39.88314437866211,-11.0,99.88260650634766,-4.390020370483398
1130113,1,-226.6441192626953,-242.82931518554688,-54.515438079833984,-11.0,98.410400390625,-4.794611930847168
1130133,1,-132.74119567871094,-233.79437255859375,-74.698486328125,-11.0,96.32292938232422,-4.483328342437744
1130153,1,-80.44140625,-209.56248474121094,-95.41250610351562,-11.0,93.81805419921875,-4.751561641693115
1130173,1,35.934993743896484,-171.8013916015625,-120.57463073730469,-11.0,90.69786071777344,-4.324958801269531
1130193,1,149.26901245117188,-119.92376708984375,-141.74493408203125,9.264358520507812,87.18216705322266,-2.9498932361602783
1130213,1,253.08892822265625,-61.431766510009766,-111.1323013305664,11.0,85.53424072265625,0.39787089824676514
1130233,1,331.27679443359375,1.514423131942749,-42.682918548583984,11.0,87.16020202636719,3.6231086254119873
1130253,1,379.45782470703125,64.84724426269531,-26.887392044067383,11.0,87.05037689208984,4.8193511962890625
1130273,1,394.79998779296875,123.0560073852539,-15.969188690185547,11.0,87.07234191894531,5.220241069793701
1130293,1,396.5556335449219,172.89349365234375,-4.032232284545898,11.0,87.31401824951172,5.109986782073975
1130313,1,362.3699645996094,210.8106231689453,11.676880836486816,11.0,88.03910827636719,5.005575656890869
1130333,1,298.7017822265625,234.11891174316406,28.51115608215332,11.0,89.07189178466797,4.444953441619873
1130353,1,215.51271057128906,240.4091339111328,48.504520416259766,11.0,90.60993957519531,4.666825771331787
1130373,1,167.91677856445312,230.51402282714844,73.1363296508789,11.0,92.7633056640625,4.434239387512207
1130393,1,53.5900764465332,204.22109985351562,106.36847686767578,11.0,95.86153411865234,4.583453178405762
1130413,1,-66.24866485595703,163.29568481445312,136.02496337890625,4.702121734619141,99.48710632324219,4.660787105560303
1130433,1,-178.83462524414062,111.44159698486328,146.34413146972656,-11.0,102.84893035888672,1.8455952405929565
1130453,1,-274.9322814941406,51.781166076660156,69.50396728515625,-9.96547794342041,102.36557006835938,-0.8760954737663269
1130473,1,-312.8915100097656,-11.734323501586914,28.565156936645508,-11.0,101.39868927001953,-3.5414888858795166
1130493,1,-372.2106018066406,-73.99459075927734,16.537172317504883,-11.0,101.35475158691406,-4.916749000549316
1130513,1,-398.7590637207031,-131.732421875,9.728738784790039,-11.0,101.31082153320312,-5.150893211364746
1130533,1,-389.29931640625,-179.7958221435547,-5.760393142700195,-11.0,100.78347778320312,-5.000900745391846
1130553,1,-345.9153747558594,-215.1011962890625,-20.801048278808594,-11.0,99.88260650634766,-4.363332748413086
1130573,1,-278.0738830566406,-234.52932739257812,-26.494840621948242,-11.0,99.17942810058594,-4.46151065826416
1130593,1,-186.72015380859375,-236.70004272460938,-43.74904251098633,-11.0,97.83906555175781,-4.796559810638428
1130613,1,-132.99354553222656,-223.5095672607422,-67.02259826660156,-11.0,95.81755065917969,-4.102112293243408
1130633,1,-25.42902374267578,-194.19281005859375,-90.24871063232422,-11.0,93.3126220703125,-4.720005035400391
1130653,1,97.41539001464844,-149.50193786621094,-115.44463348388672,-6.333376407623291,90.2803955078125,-4.524235248565674
1130673,1,207.8916015625,-94.6341781616211,-131.42173767089844,11.0,87.09430694580078,-1.963835597038269
1130693,1,298.6091003417969,-32.9539794921875,-73.75727844238281,11.0,86.91852569580078,0.745971143245697
1130713,1,333.84112548828125,31.132204055786133,-29.168119430541992,11.0,88.06108093261719,3.77388072013855
1130733,1,384.4004211425781,92.59648895263672,-17.254169464111328,11.0,88.06108093261719,4.982200622558594
1130753,1,399.9541320800781,147.79840087890625,-9.597122192382812,11.0,88.08304595947266,5.0700531005859375
1130773,1,378.2567138671875,192.03697204589844,5.167187690734863,11.0,88.63240814208984,4.641112804412842
1130793,1,321.8443298339844,222.29486083984375,20.839061737060547,11.0,89.48934936523438,4.72390079498291
1130813,1,244.93751525878906,235.43832397460938,33.49730682373047,11.0,90.56600952148438,4.626697540283203
1130833,1,199.58444213867188,232.03175354003906,52.04972457885742,11.0,92.12612915039062,4.830843925476074
