amplitude,frequency_start,frequency_end,seconds,ros_target_min,ros_target_max,ros_target_abs_peak,ros_target_rms,raw_velocity_min,raw_velocity_max,raw_velocity_abs_peak,raw_velocity_rms,reference_current_min,reference_current_max,reference_current_abs_peak,reference_current_rms,command_current_min,command_current_max,command_current_abs_peak,command_current_rms,command_saturation_percent
60.0,0.5,10.0,30.0,-59.999989137307864,59.99986330969119,59.999989137307864,42.476565407800564,-87.8211441040039,92.27989196777344,92.27989196777344,30.656646585289465,-3.3293561935424805,3.3665621280670166,3.3665621280670166,1.0948117530010422,-5.755615234375,5.566186904907227,5.755615234375,1.9076081925621065,0.0
120.0,0.5,10.0,30.0,-119.9999918486471,119.9999925879935,119.9999925879935,84.85440945430253,-166.41859436035156,147.09713745117188,166.41859436035156,61.96066468759936,-5.254135608673096,5.046678066253662,5.254135608673096,2.1884521870906535,-11.0,11.0,11.0,4.441903821238646,4.536357571714476
400.0,2.0,10.0,30.0,-399.99997551418403,399.99993830304123,399.99997551418403,283.25249060872306,-319.504638671875,341.8862609863281,341.8862609863281,110.86506026041143,-5.153815269470215,5.307704925537109,5.307704925537109,3.1248724765081066,-11.0,11.0,11.0,9.504171042657122,62.53333333333333
