time,f7_time,stage,target,position,velocity,current,state,code
10.607370439975057,56.637,survey,40.0,200.29849243164062,41.15833282470703,-0.675000011920929,2,1
10.617018280026969,56.647,survey,40.0,200.66171264648438,37.95000076293945,-0.8050000071525574,2,1
10.627498970017768,56.657,survey,40.0,201.0360107421875,35.93333435058594,-0.7549999952316284,2,1
10.63706945697777,56.667,survey,40.0,201.4066162109375,33.916664123535156,-0.5429999828338623,2,1
10.647532775998116,56.677,survey,40.0,201.77923583984375,32.770835876464844,-0.7730000019073486,2,1
10.657301379018463,56.687,survey,40.0,202.14715576171875,33.77916717529297,-0.7490000128746033,2,1
10.667548657977022,56.697,survey,40.0,202.56307983398438,36.29999923706055,-0.11699999868869781,2,1
10.676948579028249,56.707,survey,40.0,202.94375610351562,36.29999923706055,-0.0820000022649765,2,1
10.687279723002575,56.717,survey,40.0,203.3173828125,38.454166412353516,-0.5929999947547913,2,1
10.697156938025728,56.727,survey,40.0,203.7081298828125,38.270835876464844,-0.5809999704360962,2,1
10.707558561989572,56.737,survey,40.0,204.09451293945312,37.766666412353516,-0.6320000290870667,2,1
10.717031668988056,56.747,survey,40.0,204.474853515625,38.13333511352539,-0.6710000038146973,2,1
10.72758743801387,56.757,survey,40.0,204.84042358398438,37.62916564941406,-0.8220000267028809,2,1
10.73710004799068,56.767,survey,40.0,205.20330810546875,37.44583511352539,-0.5460000038146973,2,1
10.747393492027186,56.777,survey,40.0,205.559814453125,32.90833282470703,-0.7269999980926514,2,1
10.757101162977051,56.787,survey,40.0,205.95458984375,34.604164123535156,-0.8050000071525574,2,1
10.767568288021721,56.797,survey,40.0,206.3251953125,32.40416717529297,-0.5529999732971191,2,1
10.776954755012412,56.807,survey,40.0,206.71493530273438,36.62083435058594,0.028999999165534973,2,1
10.78753766498994,56.817,survey,40.0,207.07546997070312,32.40416717529297,-0.8330000042915344,2,1
10.797070742002688,56.827,survey,40.0,207.45144653320312,38.13333511352539,-0.08900000154972076,2,1
10.807369054993615,56.837,survey,40.0,207.81735229492188,40.974998474121094,-0.6660000085830688,2,1
10.816983423021156,56.847,survey,40.0,208.1956787109375,42.80833435058594,-0.8679999709129333,2,1
10.827557806973346,56.857,survey,40.0,208.55621337890625,39.462501525878906,-0.7179999947547913,2,1
