tick,interval,received,coalesced,ring_overrun,priority_full,tx_errors,can_errors,can_error_code,loops,loop_gap_ms,enabled_mask,target1,target2,target_gap1_ms,target_gap2_ms,iq1,iq2,position1,position2,velocity1,velocity2,type2_1,type2_2,tx_complete
158443,1000,91,0,0,0,0,0,0,500,2,3,191,500,10,2,100,0,100,0,100,0,191,500,981
159443,1000,90,0,0,0,0,0,0,500,2,3,190,500,10,2,100,0,100,0,100,0,190,500,981
160443,1000,91,0,0,0,0,0,0,500,2,3,191,500,10,2,100,0,100,0,100,0,190,500,981
161443,1000,90,0,0,0,0,0,0,500,2,3,190,500,10,2,100,0,100,0,100,0,191,500,983
162443,1000,91,0,0,0,0,0,0,500,2,3,191,500,10,2,100,0,100,0,100,0,191,500,977
163443,1000,91,0,0,0,0,0,0,500,2,3,191,500,10,2,100,0,100,0,100,0,190,500,975
164443,1000,90,0,0,0,0,0,0,500,2,3,190,500,10,2,100,0,100,0,100,0,191,500,980
165443,1000,91,0,0,0,0,0,0,500,2,3,191,500,10,2,100,0,100,0,100,0,190,500,983
166443,1000,90,0,0,0,0,0,0,500,2,3,190,500,10,2,100,0,100,0,100,0,190,500,983
167443,1000,89,0,0,0,0,0,0,500,2,3,189,500,10,2,100,0,100,0,100,0,190,500,985
168443,1000,91,0,0,0,0,0,0,500,2,3,191,500,10,2,100,0,100,0,100,0,190,500,982
169443,1000,90,0,0,0,0,0,0,500,2,3,190,500,10,2,100,0,100,0,100,0,191,500,982
170443,1000,90,0,0,0,0,0,0,500,2,3,190,500,10,2,100,0,100,0,100,0,190,500,981
171443,1000,90,0,0,0,0,0,0,500,2,3,190,500,10,2,100,0,100,0,100,0,190,500,980
172443,1000,91,0,0,0,0,0,0,500,2,3,191,500,10,2,100,0,100,0,100,0,190,500,981
173443,1000,90,0,0,0,0,0,0,500,2,3,190,500,10,2,100,0,100,0,100,0,191,500,980
174443,1000,91,0,0,0,0,0,0,500,2,3,191,500,10,2,100,0,100,0,100,0,190,500,980
175443,1000,90,0,0,0,0,0,0,500,2,3,190,500,10,2,100,0,100,0,100,0,191,500,985
176443,1000,91,0,0,0,0,0,0,500,2,3,191,500,10,2,100,0,100,0,100,0,191,500,979
177443,1000,91,0,0,0,0,0,0,500,2,3,191,500,10,2,100,0,100,0,100,0,190,500,980
178443,1000,90,0,0,0,0,0,0,500,2,3,190,500,10,2,100,0,100,0,100,0,191,500,984
179443,1000,90,0,0,0,0,0,0,500,2,3,190,500,10,2,100,0,100,0,100,0,190,500,982
180443,1000,91,0,0,0,0,0,0,500,2,3,191,500,10,2,100,0,100,0,100,0,190,500,983
181443,1000,90,0,0,0,0,0,0,500,2,3,190,500,10,2,100,0,100,0,100,0,191,500,978
182443,1000,91,0,0,0,0,0,0,500,2,3,191,500,10,2,100,0,100,0,100,0,190,500,981
183443,1000,91,0,0,0,0,0,0,500,2,3,191,500,10,2,100,0,100,0,100,0,191,500,983
184443,1000,90,0,0,0,0,0,0,500,2,3,190,500,10,2,100,0,100,0,100,0,191,500,978
