cycle,frequency_hz,fitted_travel_deg,raw_travel_deg,position_fit_residual_deg,saturation_fraction,valid,physical_velocity_model_gain,physical_velocity_model_phase_deg
1,0.21172085566863202,9.510874138777908,9.2066650390625,0.11721148487098682,0.0,True,0.9508227570582961,1.870212732098466
2,0.23424561105315309,9.78817827479031,9.843887329101562,0.11420043883877402,0.0,True,0.9764203917614032,2.1778013043899964
3,0.25738560672682415,9.40301119053047,9.646102905273438,0.1001665327462055,0.0,True,0.9383384855363519,2.6288169479587666
4,0.2803700587537648,10.063290059132019,9.777877807617188,0.1295687497915401,0.0,True,1.0042203760684119,2.17334526908371
5,0.30428372688813127,9.41855725597555,9.228500366210938,0.07880368822588443,0.0,True,0.9426016290456438,3.6410494550463772
6,0.32663005236880044,9.752890321557459,9.602157592773438,0.10724449078174514,0.0,True,0.9736566917311312,4.554447368574213
7,0.34972836893916215,10.077767774655412,9.733963012695312,0.07073723785330427,0.0,True,1.006292582148017,2.3935269699982036
8,0.3735387735265855,9.459820076168842,9.250595092773438,0.12484667079727357,0.0,True,0.9464841678998709,5.7119351060024535
9,0.39579056662177037,9.849170918055753,9.799957275390625,0.11900560003481628,0.0,True,0.983518730083342,4.950301967685315
10,0.41929083069119455,9.997231852316519,9.843887329101562,0.08745726449613496,0.0,True,0.9994148499447626,4.59971724677913
11,0.44148532287971853,9.632841271691401,9.71209716796875,0.07384520024509032,0.0,True,0.9614682793915228,6.460049897698178
12,0.465774710587619,9.427631176512877,9.51416015625,0.10261798409929754,0.0,True,0.9432893951146449,6.404028824493639
13,0.4887759637904571,9.71388418778454,9.821929931640625,0.09292793111708347,0.0,True,0.9717380869479522,8.198111382243852
14,0.5121435424510522,10.314208452978438,10.437179565429688,0.06353962800811142,0.0,True,1.031852009341185,6.042221899108499
15,0.5344601937311801,10.027664876674045,9.997756958007812,0.08041678264456277,0.0,True,1.0025313195669718,6.173120228359439
16,0.5581379840734008,9.903780127551304,9.646087646484375,0.07591924764377501,0.0,True,0.9907420188962041,6.865585309056775
17,0.5789155746046903,9.746783473505221,9.624114990234375,0.10496081403961696,0.0,True,0.9712188437634993,7.152926847363074
18,0.6076147046857373,9.805637432585431,9.821807861328125,0.07275911982852408,0.0,True,0.9863158284957709,7.22310939853221
19,0.6253589862683308,10.048025492053716,10.195571899414062,0.07892464516722095,0.0,True,1.0023306934952267,8.407643514512195
20,0.6504037938767641,10.116113977964847,10.217422485351562,0.09303292881471865,0.0,True,1.012016184423874,8.547986113823212
21,0.670824616469205,10.118670641613848,10.06353759765625,0.07334172707226223,0.0,True,1.0085626821846436,7.5728316903389015
22,0.6964956114052555,10.369593603983374,10.217514038085938,0.08019453610865025,0.0,True,1.0372719174620082,9.168699449346754
23,0.7216820544674554,10.313921216702708,10.393157958984375,0.11343288691561994,0.0,True,1.0347717887328842,9.13819092934718
24,0.7427405727998022,10.48231971295396,10.437179565429688,0.09659721328890426,0.0,True,1.0487685386977077,10.121344811648335
25,0.7662395883860785,10.43272055473961,10.634994506835938,0.07942135720448099,0.0,True,1.0444450001532448,9.98457205840437
26,0.7879775168018477,10.4800565977983,10.656967163085938,0.10330474238091202,0.0,True,1.0473788888139683,10.875014628810602
