time_s,target_normalized,ideal_normalized,fit20,unity20,fit200,unity200,fit800,unity800
4.125000000000000333e-01,1.000000000000000000e+00,9.838365054118340947e-01,9.141871300372602649e-01,9.746641412600475229e-01,9.877891220384675819e-01,9.842781052697877620e-01,8.397231693232454219e-01,9.511380131335838151e-01
4.130000000000000338e-01,1.000000000000000000e+00,9.839171211774115910e-01,9.142736251079505161e-01,9.747782591261755503e-01,9.878696487352638389e-01,9.843572979147402480e-01,8.398368635547760475e-01,9.513225205786032257e-01
4.135000000000000342e-01,1.000000000000000000e+00,9.839973348701808176e-01,9.143597001733944074e-01,9.748918629822000970e-01,9.879497715086165144e-01,9.844360916589798283e-01,8.399500566713098415e-01,9.515063313062058770e-01
4.140000000000000346e-01,1.000000000000000000e+00,9.840771484954883297e-01,9.144453572730653068e-01,9.750049551433275230e-01,9.880294923846129063e-01,9.845144885118066735e-01,8.400627508815449174e-01,9.516894479472619572e-01
4.145000000000000351e-01,1.000000000000000000e+00,9.841565640486789057e-01,9.145305984365333929e-01,9.751175379143357524e-01,9.881088133791781081e-01,9.845924904723994953e-01,8.401749483844446198e-01,9.518718731227076013e-01
4.150000000000000355e-01,1.000000000000000000e+00,9.842355835151455068e-01,9.146154256835137275e-01,9.752296135896215690e-01,9.881877364981249690e-01,9.846700995298673931e-01,8.402866513692799355e-01,9.520536094435816388e-01
4.155000000000000360e-01,1.000000000000000000e+00,9.843142088703789039e-01,9.146998410239137733e-01,9.753411844532473562e-01,9.882662637372049419e-01,9.847473176632997038e-01,8.403978620156726809e-01,9.522346595110635636e-01
4.160000000000000364e-01,1.000000000000000000e+00,9.843924420800171937e-01,9.147838464578813555e-01,9.754522527789876163e-01,9.883443970821592650e-01,9.848241468418172939e-01,8.405085824936376904e-01,9.524150259165105048e-01
4.165000000000000369e-01,1.000000000000000000e+00,9.844702850998945376e-01,9.148674439758518462e-01,9.755628208303752658e-01,9.884221385087680334e-01,9.849005890246221862e-01,8.406188149636254492e-01,9.525947112414945295e-01
4.170000000000000373e-01,1.000000000000000000e+00,9.845477398760904553e-01,9.149506355585955708e-01,9.756728908607479323e-01,9.884994899829014914e-01,9.849766461610477419e-01,8.407285615765640596e-01,9.527737180578393916e-01
