tick,interval,received,coalesced,ring_overrun,priority_full,tx_errors,can_errors,can_error_code,loops,loop_gap_ms,enabled_mask,target1,target2,target_gap1_ms,target_gap2_ms,iq1,iq2,position1,position2,velocity1,velocity2,type2_1,type2_2,tx_complete
991443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,190,971
992443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,968
993443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,191,971
994443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,974
995443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,975
996443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,972
997443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,971
998443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,970
999443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,973
1000443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,975
1001443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,970
1002443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,976
1003443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,977
1004443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,974
1005443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,972
1006443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,974
1007443,1000,88,0,0,0,0,0,0,500,2,2,486,185,2,10,0,97,0,97,0,97,487,185,952
1008443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,103,103,103,103,103,103,0,3,619
1009443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1010443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1011443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1012443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1013443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1014443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1015443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1016443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1017443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1018443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1019443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1020443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1021443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1022443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1023443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1024443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1025443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1026443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1027443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1028443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1029443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1030443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1031443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1032443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1033443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1034443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1035443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1036443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1037443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1038443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1039443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
1040443,1000,15,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,2,2,606
1041443,1000,89,0,0,0,0,0,0,500,2,3,428,160,33174,33200,14,100,14,100,14,100,429,161,918
1042443,1000,92,0,0,0,0,0,0,500,2,3,500,192,2,10,0,100,0,100,0,100,500,192,975
1043443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,974
1044443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,972
