tick,interval,received,coalesced,ring_overrun,priority_full,tx_errors,can_errors,can_error_code,loops,loop_gap_ms,enabled_mask,target1,target2,target_gap1_ms,target_gap2_ms,iq1,iq2,position1,position2,velocity1,velocity2,type2_1,type2_2,tx_complete
27443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
28443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
29443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
30443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
31443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
32443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
33443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
34443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
35443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
36443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
37443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
38443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
39443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
40443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
41443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
42443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
43443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
44443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
45443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
46443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
47443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
48443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,600
49443,1000,42,0,0,0,0,0,0,500,2,3,90,31,2,10,82,100,82,100,82,100,93,34,675
50443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,976
51443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,976
52443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,979
53443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,981
54443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,978
55443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,978
56443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,982
57443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,979
58443,1000,92,0,0,0,0,0,0,500,2,3,500,192,2,10,0,100,0,100,0,100,500,191,978
59443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,976
60443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,192,980
61443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,985
62443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,977
63443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,977
64443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,976
65443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,985
66443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,973
67443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,978
68443,1000,92,0,0,0,0,0,0,500,2,3,500,192,2,10,0,100,0,100,0,100,500,192,981
69443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,973
70443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,981
71443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,978
72443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,974
73443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,977
74443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,976
75443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,190,979
76443,1000,89,0,0,0,0,0,0,500,2,3,500,189,2,10,0,100,0,100,0,100,500,190,982
77443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,975
78443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,976
79443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,190,979
80443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,191,976
81443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,983
82443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,978
83443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,982
84443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,189,985
85443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,191,982
86443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,984
87443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,981
88443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,977
89443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,977
90443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,976
91443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,981
92443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,977
93443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,190,975
94443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,191,980
95443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,982
96443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,978
97443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,979
98443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,977
99443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,977
100443,1000,91,0,0,0,0,0,0,500,2,3,500,191,2,10,0,100,0,100,0,100,500,191,975
101443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,975
102443,1000,90,0,0,0,0,0,0,500,2,3,500,190,2,10,0,100,0,100,0,100,500,190,975
