cycle,frequency_hz,fitted_travel_deg,raw_travel_deg,position_fit_residual_deg,saturation_fraction,valid,physical_velocity_model_gain,physical_velocity_model_phase_deg
1,0.21636353358511917,8.691400185141926,8.371627807617188,0.1650510200020009,0.0,True,0.8655448735779038,-7.9204772552734815
2,0.24996332716337302,8.623780524008424,8.305770874023438,0.1788635814890947,0.0,True,0.85955493920467,-7.366164602510957
3,0.2837205067584425,8.538977346877237,8.34967041015625,0.1482974260952932,0.0,True,0.8521570660056244,-6.618662738876199
4,0.31684573325384136,8.545698918746677,8.32769775390625,0.15982430174523868,0.0,True,0.8520874616850619,-5.169633390028913
5,0.35095066480837456,8.391123217244298,8.195953369140625,0.13540455990032269,0.0,True,0.8381032631433972,-4.488555346146166
6,0.38439917219680997,8.316736954573571,8.173980712890625,0.13334284759140816,0.0,True,0.8306465685420933,-4.081785428505832
7,0.4180760112104677,8.35242512702356,8.108078002929688,0.1365818114567338,0.0,True,0.834089459503648,-2.3686175049319105
8,0.45026393954939464,8.453786810720292,8.23992919921875,0.1282289239830132,0.0,True,0.8419090849930607,-1.9111965625311549
9,0.48585164979102374,8.56401071519753,8.415679931640625,0.11883456530831728,0.0,True,0.8571401699154962,-0.35125024005543626
10,0.5180535604793615,8.571995368767444,8.327804565429688,0.12253851355407014,0.0,True,0.8554878046251426,0.22884151663677327
11,0.5515326298679966,8.647576572431383,8.547515869140625,0.11772185822962626,0.0,True,0.8627020104186066,0.9176733772096816
12,0.585982883228126,8.779409730895146,8.679367065429688,0.10900971475137049,0.0,True,0.8777664792251509,1.203393909518841
13,0.6188294330630371,8.891231008525011,8.83319091796875,0.10544952811838126,0.0,True,0.888387353711888,1.5827307336821006
14,0.6522220544552298,8.936594067452305,8.899124145507812,0.11110062463179073,0.0,True,0.8914122964717041,2.184140315926549
15,0.6851581808944408,9.075032543536437,9.030929565429688,0.11298529749623858,0.0,True,0.905718547154626,2.552138817221409
16,0.7203359605569671,8.978219380872765,9.14080810546875,0.12686972887798992,0.0,True,0.898105021629143,3.5290390992163023
17,0.7538141735447026,8.98025187721246,9.030929565429688,0.1240549542221441,0.0,True,0.8989138057525339,3.663060903441709
18,0.7906443938088903,8.99235679811733,9.184738159179688,0.12514497656540435,0.0,True,0.9037876280610667,4.636948105723887
19,0.8183356447915868,9.039046702974534,9.118789672851562,0.14790525230373444,0.0,True,0.9026178718237311,5.713797335281466
20,0.8546988818989963,9.03688415696873,9.052902221679688,0.14744156470754222,0.0,True,0.9047132999392257,6.037064410596842
21,0.8848429225213107,8.95488683593796,9.030929565429688,0.1616456752435838,0.0,True,0.8928070079144542,7.3606272484892665
22,0.9226805389828014,9.151707624501778,9.118850708007812,0.16166871124452623,0.0,True,0.9168240118448976,7.8647315343611774
23,0.9515418191019481,9.212736741405534,9.31658935546875,0.19076896542094285,0.0,True,0.9191291334372719,7.82720766817913
24,0.9866473852656582,9.342785826227706,9.756027221679688,0.19577027351906157,0.0,True,0.9335785038552553,7.799190406874387
25,1.0208843497259157,9.430227271618826,9.668167114257812,0.17535816373464605,0.0,True,0.942872400429986,7.419676469297359
26,1.0592879448312416,9.64274781380218,9.558273315429688,0.14909614635771626,0.0,True,0.9686832312007786,6.8629650938941635
27,1.09122642731202,9.64165794293736,9.624176025390625,0.14767627369501882,0.0,True,0.9667047510092449,6.655533164336206
28,1.1147719505222695,9.702978715137588,9.66815185546875,0.1485564524432255,0.0,True,0.9657698061744542,6.557640685568039
29,1.1599478740865448,9.730841607194698,9.734054565429688,0.12495569996908719,0.0,True,0.9758333354621417,6.0986043444693845
30,1.1905424329757501,9.561613383748206,9.624176025390625,0.1369779464636847,0.0,True,0.9575534635541526,6.860750497056949
31,1.2238325007052624,9.674860433479871,9.624237060546875,0.14418311984433987,0.0,True,0.9678216936449803,5.90392954056125
32,1.2564806681780276,9.647095782186984,9.668106079101562,0.15553065577774317,0.0,True,0.9651470590909704,6.42760944575027
33,1.278309693890815,9.556285550982848,9.53631591796875,0.16325751010089193,0.0,True,0.9483043837025711,5.398304830674202
34,1.3352305528308015,9.446471907786048,9.448394775390625,0.13532806735122666,0.0,True,0.9540584019239442,5.22018130741117
35,1.3473606816448158,9.449508852403202,9.33856201171875,0.1804640162562178,0.0,True,0.9363613168140085,5.492546219417774
36,1.3878349754964157,9.259744487131709,9.228668212890625,0.21283185699944726,0.0,True,0.9259450747690898,5.2323193384805355
37,1.423087825018933,9.146343794271731,9.14080810546875,0.2043043646359793,0.0,True,0.916019534186913,5.5699485588885755
38,1.470082596842157,9.147760157988758,9.118789672851562,0.21258353400321753,0.0,True,0.9248524413217714,6.610230167247945
