tick,id,target,model,velocity,current,position,reference_current
214483,1,0.0,0.0,0.0,0.0,89.7530517578125,9.739652887219563e-05
214503,1,0.0,0.0,0.23263318836688995,-0.06812110543251038,89.77501678466797,-0.049186259508132935
214523,1,0.0,0.0,0.5105634927749634,-0.149691641330719,89.77501678466797,-0.06418532878160477
214543,1,0.0,0.0,0.820595383644104,-0.23076258599758148,89.77501678466797,-0.03652471303939819
214563,1,0.0,0.0,-0.23767533898353577,0.0496823713183403,89.7530517578125,-0.018797529861330986
214583,1,0.0,0.0,-1.0422310829162598,0.2531638741493225,89.73103332519531,-0.04022578150033951
214603,1,0.0,0.0,1.5566191673278809,-0.44370630383491516,89.84091186523438,-0.06515929102897644
214623,1,0.0,0.0,0.18857449293136597,-0.059913914650678635,89.7530517578125,0.028148103505373
214643,1,0.0,0.0,-4.093149662017822,1.0436198711395264,89.64317321777344,-0.050939396023750305
214663,1,0.0,0.0,8.563241958618164,-2.2944693565368652,90.08259582519531,-0.024446528404951096
214683,1,0.0,0.0,-4.737065315246582,1.2866053581237793,89.48934936523438,0.11171533912420273
214703,1,0.0,0.0,-2.7868564128875732,0.6789432168006897,89.73103332519531,-0.0844443067908287
214723,1,0.0,0.0,9.582383155822754,-2.5657544136047363,90.12657928466797,-0.05717277526855469
214743,1,0.0,0.0,-3.6556129455566406,0.9855557084083557,89.53328704833984,0.04938105493783951
214763,1,0.0,0.0,-4.210064888000488,1.047736644744873,89.66513061523438,-0.07918489724397659
214783,1,0.0,0.0,9.365856170654297,-2.527801036834717,90.14854431152344,-0.08619745075702667
214803,1,0.0,0.0,-2.2040233612060547,0.5965033173561096,89.59923553466797,0.05561443045735359
214823,1,0.0,0.0,-5.935845375061035,1.5033483505249023,89.59923553466797,-0.06613325327634811
214843,1,0.0,0.0,8.854330062866211,-2.4157097339630127,90.12657928466797,-0.14288273453712463
214863,1,0.0,0.0,-0.0789189338684082,0.022506188601255417,89.68710327148438,0.027563724666833878
214883,1,0.0,0.0,-8.04501724243164,2.072317123413086,89.51132202148438,-0.04042057320475578
214903,1,0.0,0.0,7.2744622230529785,-2.0079398155212402,90.12657928466797,-0.1241820901632309
214923,1,0.0,0.0,2.045264720916748,-0.5467609763145447,89.7530517578125,0.018213657662272453
214943,1,0.0,0.0,-9.955934524536133,2.5803284645080566,89.4014892578125,-0.027369437739253044
214963,1,0.0,0.0,5.253382682800293,-1.492611050605774,90.03866577148438,-0.13898687064647675
214983,1,0.0,0.0,3.5220675468444824,-0.9611764550209045,89.81895446777344,-0.0076943254098296165
215003,1,0.0,0.0,-9.841524124145508,2.5486605167388916,89.35749816894531,-0.015680840238928795
215023,1,0.0,0.0,4.262404441833496,-1.2454334497451782,89.99473571777344,-0.15866096317768097
215043,1,0.0,0.0,4.6005096435546875,-1.2608426809310913,89.86288452148438,-0.017433978617191315
215063,1,0.0,0.0,-9.431659698486328,2.4388651847839355,89.35749816894531,-0.023082977160811424
215083,1,0.0,0.0,3.1343941688537598,-0.9589174389839172,89.95079803466797,-0.1645047664642334
215103,1,0.0,0.0,5.513123512268066,-1.5212482213974,89.90681457519531,-0.03068092092871666
215123,1,0.0,0.0,-8.096735954284668,2.0773491859436035,89.35749816894531,-0.05152377858757973
215143,1,0.0,0.0,1.7158021926879883,-0.6000375151634216,89.86288452148438,-0.17015376687049866
